,series,SpeciesID,SamplePurpose,Latitude,Longitude,Easting,Northing,Elevation,Patch_loc
1,MPB1,PIED,Chron,36.086628,-106.691466,347712.2595,3994881.084,2601.23999,Interior
2,MPB10,QUGA,AGE,36.092074,-106.692187,347657.8531,3995486.345,2569.461182,Interior
3,MPB11,QUGA,AGE,36.092074,-106.692187,347657.8531,3995486.345,2569.461182,Interior
4,MPB12,PIPO,FS,36.09087,-106.692334,347642.2934,3995353.014,2576.551025,Interior
5,MPB13,QUGA,AGE,36.083315,-106.68434,348347.5266,3994502.433,2632.060303,Interior
6,MPB14,QUGA,AGE,36.083315,-106.68434,348347.5266,3994502.433,2632.060303,Interior
7,MPB15,QUGA,AGE,36.089567,-106.67908,348833.1365,3995187.783,2600.112793,Interior
8,MPB16,QUGA,AGE,36.089567,-106.67908,348833.1365,3995187.783,2600.112793,Interior
9,MPB17,QUGA,FS,36.092418,-106.682662,348516.0948,3995509.623,2585.51123,Interior
10,MPB18,PIPO,FS,36.093242,-106.682564,348526.4999,3995600.877,2573.991211,Interior
11,MPB19,PIPO,GC,36.093312,-106.682175,348561.6573,3995608.036,2574.21582,Interior
12,MPB2,JUSC,FS,36.086651,-106.691327,347724.8196,3994883.418,2605.102051,Interior
13,MPB20,PIPO,GC,36.093444,-106.682099,348568.7531,3995622.561,2575.567383,Interior
14,MPB21,PIPO,DD,36.093417,-106.682826,348503.2472,3995620.698,2565.657715,Interior
15,MPB22,PIPO,FS,36.094883,-106.68553,348262.6166,3995787.54,2521.173828,Interior
16,MPB23,QUGA,AGE,36.094123,-106.686716,348154.3766,3995705.084,2511.242432,Interior
17,MPB24,QUGA,AGE,36.094123,-106.686716,348154.3766,3995705.084,2511.242432,Interior
18,MPB25,RONE,AGE,36.094123,-106.686716,348154.3766,3995705.084,2511.242432,Interior
19,MPB26,QUGA,AGE,36.093038,-106.688371,348003.2829,3995587.31,2485.626465,Interior
20,MPB27,QUGA,AGE,36.093038,-106.688371,348003.2829,3995587.31,2485.626465,Interior
21,MPB28,QUGA,AGE,36.091228,-106.68689,348133.1394,3995384.21,2516.279785,Interior
22,MPB29,QUGA,AGE,36.091228,-106.68689,348133.1394,3995384.21,2516.279785,Interior
23,MPB3,JUSC,DD,36.086562,-106.691357,347721.9466,3994873.592,2605.075928,Interior
24,MPB30,QUGA,AGE,36.089415,-106.684115,348379.5053,3995178.761,2535.011719,Interior
25,MPB31,QUGA,AGE,36.089415,-106.684115,348379.5053,3995178.761,2535.011719,Interior
26,MPB32,QUGA,AGE,36.085964,-106.682386,348528.5575,3994793.244,2548.320312,Interior
